risk_rank,layer,head,count,mean,max,sum
201,0,20,5.0,0.02106747627258296,0.023773193359375,0.1053373813629148
202,31,6,3.0,0.0338560342788696,0.0448726415634155,0.1015681028366088
203,42,22,6.0,0.016875803470611534,0.02285897731781,0.1012548208236692
204,25,15,1.0,0.1008802652359008,0.1008802652359008,0.1008802652359008
205,39,9,7.0,0.014190801552363757,0.0251073241233825,0.0993356108665463
206,49,0,8.0,0.012293353676795913,0.0384005308151245,0.0983468294143673
207,39,0,4.0,0.024415373802185024,0.03584885597229,0.0976614952087401
208,48,13,3.0,0.03254407644271847,0.0397648215293884,0.0976322293281554
209,13,10,1.0,0.0971168279647827,0.0971168279647827,0.0971168279647827
210,7,9,2.0,0.045276612043380654,0.0492042899131774,0.09055322408676131
211,19,17,1.0,0.0882128477096557,0.0882128477096557,0.0882128477096557
212,4,2,2.0,0.04303026199340815,0.0430883169174194,0.0860605239868163
213,10,7,1.0,0.0852726101875305,0.0852726101875305,0.0852726101875305
214,6,17,6.0,0.014207541942596385,0.0214126706123352,0.08524525165557831
215,11,20,2.0,0.0425004363059997,0.0496426820755004,0.0850008726119994
216,11,23,1.0,0.0841408371925354,0.0841408371925354,0.0841408371925354
217,11,2,2.0,0.0420330464839935,0.0448930263519287,0.084066092967987
218,31,23,1.0,0.0826161503791809,0.0826161503791809,0.0826161503791809
219,11,8,1.0,0.0809309482574462,0.0809309482574462,0.0809309482574462
220,8,15,1.0,0.0802503228187561,0.0802503228187561,0.0802503228187561
221,10,13,1.0,0.0793700218200683,0.0793700218200683,0.0793700218200683
222,39,19,5.0,0.015803980827331497,0.0411216616630554,0.07901990413665749
223,59,15,20.0,0.003933194279670665,0.005502313375473,0.07866388559341331
224,29,8,3.0,0.025871872901916435,0.0314401388168334,0.0776156187057493
225,45,6,15.0,0.0046892364819844,0.0068390369415283,0.070338547229766
226,42,2,1.0,0.069612979888916,0.069612979888916,0.069612979888916
227,48,20,10.0,0.0068935990333556605,0.0097002983093261,0.0689359903335566
228,32,1,3.0,0.022790769735972036,0.028407335281372,0.06837230920791611
229,5,4,7.0,0.00960864339556007,0.0143145322799682,0.0672605037689205
230,46,21,2.0,0.03218215703964225,0.0352991819381713,0.0643643140792845
